Key,russian
garageDoorHousePicked," Подъемные гаражные ворота 5x3 (POI)\n[808080](Взломана)[-]"
garageDoorHousePlayerPicked,"Подъемные гаражные ворота 5x3\n[808080](Взломана)[-]"
garageDoorIndustrialPicked,"Стальные гаражные ворота 5x3 (POI)\n[808080](Взломана)[-]"
garageDoorIndustrial_PoweredBlueprint,"[B2DFFF]Чертеж Электрических стальных ворот 5x3[-]"
garageDoorIndustrial_PoweredBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
garageDoorMetal_v1Picked,"Чертеж Электрических ворот 3x2\n[808080](Взломана)[-]"
garageDoorMetal_v1PoweredBlueprint,"[B2DFFF]Чертеж Электрических стальных ворот 3x2[-]"
garageDoorMetal_v1PoweredBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
garageDoorMetal_v2Picked,"Укрепленные гаражные ворота 3x2\n[808080](Взломана)[-]"
garageDoorMetal_v3Picked,"Укрепленные гаражные ворота 3x2\n[808080](Взломана)[-]"
glass,"Стекло"
gold,"Золото"
groupAll,"Всё"
groupAmmo,"Амуниция"
groupAmmoWeapons,"Боеприпасы/Оружие"
groupBars,"Балки и Опоры"
groupBasics,"Основы"
groupBuilding,"Здания"
groupClothing,"Одежда"
groupContainers,"Контейнеры"
groupDecorMisc,"Декор/Разное"
groupFirstAid,"Первая помощь"
groupFoodCooking,"Еда/Готовка"
groupFrames,"Каркасные блоки"
groupGrenades,"Гранаты"
groupHeavyArmor,"Тяжелая броня"
groupLightArmor,"Легкая броня"
groupMediumArmor,"Средняя броня"
groupMinesExplosives,"Мины/Взрывчатка"
groupMods,"Модификации"
groupResources,"Ресурсы"
groupScience,"Технологии"
groupSeeds,"Семена"
groupStorage,"Хранилища"
groupTools,"Инструмент"
groupToolsTraps,"Приспособления/Ловушки"
groupWorkstations,"Верстак"
groupWorkstationTools,"Инструменты верстака"
gunBotT1JunkSledge,"Портативная турель кувалда"
gunBotT1JunkSledgeDesc,"Роботизированная турель ближнего боя. Можно использовать как оружие или поставить на землю."
gunBotT2JunkTurret,"Портативная турель из хлама"
gunBotT2JunkTurretDesc,"Можно использовать как оружие или поставить на землю"
gunBowT0PrimitiveBow,"Примитивный лук"
gunBowT0PrimitiveBowDesc,"Не наносит большого урона, но является хорошим стартовым оружием дальнего боя"
gunBowT1IronCrossbow,"Железный арбалет"
gunBowT1IronCrossbowDesc,"Медленно перезаряжается, но наносит больше урона по сравнению с луком и может стрелять под водой."
gunBowT1WoodenBow,"Охотничий лук"
gunBowT1WoodenBowDesc,"Хорош для охоты и убийства"
gunBowT3CompoundBow,"Блочный лук"
gunBowT3CompoundBowDesc,"Наносит больше урона и является более точным, чем обычные луки"
gunExplosivesT3RocketLauncher,"Гранатомет"
gunExplosivesT3RocketLauncherDesc,"Может создать ад и хаос"
gunHandgunT1Pistol,"Бенгал М9"
gunHandgunT1PistolDesc,"Стандартный 9-мм пистолет"
gunHandgunT2Magnum44,"Магнум .44"
gunHandgunT2Magnum44Desc,"Очень мощный, но шумный револьвер"
gunHandgunT3DesertVulture,"Пустынный стервятник"
gunHandgunT3DesertVultureDesc,"Тяжелый пистолет 44 калибра"
gunHandgunT3SMG5,"SMG-5"
gunHandgunT3SMG5Desc,"Стандартный 10-мм пистолет-пулемет"
gunMGT1AK47,"АК-47"
gunMGT1AK47Desc,"Несмотря на свою простоту, это оружие может быть очень мощным в правильных руках"
gunMGT2TacticalAR,"Штурмовая винтовка"
gunMGT2TacticalARDesc,"Штурмовая винтовка военного образца"
gunMGT3M60,"Пулемет M60"
gunMGT3M60Desc,"Громоздок в использовании, но имеет большую огневую мощь"
gunPistol,"Пистолет"
gunPistolDesc,"Базовый пистолет, разработанный компанией Kiloton Ballistics для гражданского использования. Для работы требуется магазин."
gunRifleT1HuntingRifle,"Охотничья винтовка"
gunRifleT1HuntingRifleDesc,"Любимое оружие некоторых фермеров благодаря сочетанию простоты и огневой мощи."
gunRifleT2MarksmanRifle,"Марксманская винтовка"
gunRifleT2MarksmanRifleDesc,"Оружие пехотного снайпера, занимающее промежуточное положение между обычным стрелковым оружием и тяжёлыми, высокоточными не автоматическими снайперскими винтовками с продольно скользящим, поворотным затвором, под патроны увеличенной мощности."
gunRifleT3SniperRifle,"Снайперская винтовка"
gunRifleT3SniperRifleDesc,"Высокоточная винтовка - отличный выбор для снайперской стрельбы по противникам на больших дистанциях."
gunShotgunT0Blunderbuss,"Мушкетон"
gunShotgunT0BlunderbussDesc,"Примитивное дульнозарядное ружье, эффективное на очень близких расстояниях."
gunShotgunT1DoubleBarrel,"Двуствольный дробовик"
gunShotgunT1DoubleBarrelDesc,"Отлично подходит для расправы на близком расстоянии."
gunShotgunT2PumpShotgun,"Помповый дробовик"
gunShotgunT2PumpShotgunDesc,"Длинноствольное ружье с помповым механизмом."
gunShotgunT3AutoShotgun,"Автоматический дробовик"
gunShotgunT3AutoShotgunDesc,"Полуавтоматический дробовик - очень разрушительное оружие ближнего боя, способное сделать фарш из всего, что окажется перед ним."
headerDisplay,"Отображение"
headerQuality,"Качество"
headerUI,"Пользовательский интерфейс"
headerVideo,"Настройки видео"
houseFrontDoor1_v1Picked,"Дверь\n[808080](Взломана)[-]"
houseFrontDoor1_v2Picked,"Усиленная Дверь\n[808080](Взломана)[-]"
houseFrontDoor1_v3Picked,"Усиленная Дверь\n[808080](Взломана)[-]"
houseFrontDoor2_v1Picked,"Дверь\n[808080](Взломана)[-]"
houseFrontDoor2_v2Picked,"Усиленная Дверь\n[808080](Взломана)[-]"
houseFrontDoor2_v3Picked,"Усиленная Дверь\n[808080](Взломана)[-]"
inactiveBlockPrompt,"{0}\n[808080](Неактивный)[-]"
industrialLight01_playerBlueprint,"[B2DFFF]Схема индустриального светильника[-]"
industrialLight01_playerBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
industrialLight02_playerBlueprint,"[B2DFFF]Схема индустриальной лампы[-]"
industrialLight02_playerBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
infectionDesc,"Вы инфицированы. Используйте антибиотики или мед, чтобы вылечить инфекцию. Если не лечить, вы ослабнете и в конечном итоге умрете"
inpActActionLockStack,"Заблокировать стопку"
inpActDebugScreenshotName,"Снимок экрана отладки"
inpActGuiKeyboardSpaceName,"Горячая клавиша 5"
inpActInventorySlot10Name,"Слот 10"
inpActInventorySlot11Name,"Слот 11"
inpActInventorySlot12Name,"Слот 12"
inpActInventorySlot9Name,"Слот 9"
inpActLockSelectedSlotName,"Заблокировать ячейку"
inpActSkillsDesc,"Открыть вкладку навыков"
inpActSkillsName,"Навыки"
inpActVehicleToggleSirenName,"Переключить сирену"
inpActVehicleToggleTopLightName,"Переключить дополнительное освещение"
iron,"Железо"
ironDoor1_v1Picked,"Железная дверь\n[808080](Взломана)[-]"
ironDoor1_v2Picked,"Усиленная железная дверь\n[808080](Взломана)[-]"
ironDoor1_v3Picked,"Усиленная железная дверь\n[808080](Взломана)[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Взять {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Взять {1} ({2})"
knowledge,"Примечания к навыкам"
lblContextActionCraft,"Создать"
lblContextActionDrink,"Выпить"
lblContextActionDrop,"Бросить"
lblContextActionEat,"Съесть"
lblContextActionForge,"Горн"
lblContextActionPin,"Закрепить"
lblContextActionRead,"Прочесть"
lblContextActionResearch,"Исследовать"
lblContextActionScrap,"Разобрать"
lblContextActionWear,"Надеть"
lblLevel,"Уровень: {0}"
lead,"Свинец"
leather,"Кожа"
leatherPoncho,"Пончо"
leatherPonchoDesc,"Это пончо обеспечивает небольшую защиту и помогает в жару."
lightPlayerNoPowerGroupDesc,"Не требует внешнего источника питания"
lockInventorySlotsTip,"Можно заблокировать любой складской слот, наведя на него курсор и нажимая клавишу [decea3] [L] [-]. Заблокированные слоты игнорируются при сортировке запасов по весу, цене, типу или имени, а также при нажатии любой из кнопок передачи в хранилище .\n\nЧтобы разблокировать заблокированный слот, наведите на него курсор и нажмите клавишу [decea3] [L] [-]. Можно настроить привязку ключа по умолчанию к другой кнопке в :\n[decea3]Настройках-> Управление -> UI -> Заблокировать ячейку[-]"
lockInventorySlotsTip_title,"UL / Инвентарь / Блокировка ячейки"
lootAccess,"[73E9B2][{0}][-] Доступ {1}"
lootEntity,"[73E9B2][{0}][-] Искать {1}"
lootItem,"[73E9B2][{0}][-] Поднять {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Открыть {1}\n[808080](Пустой)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Обыскать {1}\n[73E9B2](Нетронутый)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Открыть {1}"
medicalBloodDrawKit,"Набор для забора крови"
medicalBloodDrawKitDesc,"Используйте наборы для забора крови, чтобы сделать пакеты крови. Они используются для изготовления аптечек первой помощи."
megaCrushBuffDesc,"Повышайте свои рефлексы и выносливость с помощью дополнительного прилива энергии!"
megaCrushBuffName,"Энергетик"
meleeClubIron,"Железная дубина"
meleeClubIronDesc,"Более прочная, чем деревянная дубинка, и наносит больший урон. Хорошо подходит для перелома коленей и пролома черепа."
meleeToolAxeT1IronFireaxe,"Пожарный топор"
meleeToolAxeT1IronFireaxeBlueprint,"[B2DFFF]Схема Пожарного топора[-]"
meleeToolAxeT1IronFireaxeBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolAxeT1IronFireaxeDesc,"[decea3]+200%[-] больше урона по деревьям."
meleeToolAxeT2SteelAxe,"Стальной топор"
meleeToolAxeT2SteelAxeBlueprint,"[B2DFFF]Схема стального топора[-]"
meleeToolAxeT2SteelAxeBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolAxeT2SteelAxeDesc,"[decea3]+300%[-] больше урона по деревьям."
meleeToolAxeT3Chainsaw,"Бензопила"
meleeToolAxeT3ChainsawDesc,"[decea3]+300%[-] больше урона по деревьям."
meleeToolChainsawParts,"Части для бензоинструмента"
meleeToolFlashlight02,"Фонарик"
meleeToolFlashlight02Desc,"Может использоваться в качестве источника света"
meleeToolHuntingKnife,"Охотничий нож"
meleeToolHuntingKnifeDesc,"Многозадачный инструмент, надрежьте дерево чтобы собрать [decea3]Смолу[-], кактус чтобы получить [decea3]Плоды юкки[-]. Также можно свежевать животных."
meleeToolMachete,"Железное мачете"
meleeToolMacheteDesc,"Многозадачный инструмент, надрежьте дерево чтобы собрать [decea3]Смолу[-], кактус чтобы получить [decea3]Плоды юкки[-]. Также можно свежевать животных или отрубать зомби конечности."
meleeToolPickT1IronPickaxe,"Железная кирка"
meleeToolPickT1IronPickaxeBlueprint,"[B2DFFF][-]Схема железной кирки"
meleeToolPickT1IronPickaxeBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolPickT1IronPickaxeDesc,"[decea3]+100%[-] больше урона по рудам и асфальту. Хорошо подходит для разрушения камня и сбора полезных ископаемых"
meleeToolPickT2SteelPickaxe,"Стальная кирка"
meleeToolPickT2SteelPickaxeBlueprint,"[B2DFFF]Схема стальной кирки[-]"
meleeToolPickT2SteelPickaxeBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolPickT2SteelPickaxeDesc,"[decea3]+100%[-] больше урона по рудам и асфальту. Хорошо подходит для разрушения камня и сбора полезных ископаемых"
meleeToolPickT3Auger,"Бур"
meleeToolPickT3AugerDesc,"[decea3]+120%[-] больше урона по земле и асфальту."
meleeToolRepairT0StoneAxe,"Каменный топор"
meleeToolRepairT0StoneAxeDesc,"[decea3]+200%[-] урона по деревьям. Не лучшее оружие, но полезный инструмент для рубки дерева."
meleeToolRepairT0TazasStoneAxe,"Каменный топор Тазы"
meleeToolRepairT0TazasStoneAxeDesc,"[decea3]+200%[-] урона по деревьям. Артефакт Апачей, который, как полагают, делает тех, кто им владел, непобедимыми в бою."
meleeToolRepairT1ClawHammer,"Молоток-гвоздодер"
meleeToolRepairT1ClawHammerBlueprint,"[B2DFFF]Схема Молотка-гвоздодера[-]"
meleeToolRepairT1ClawHammerBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolRepairT1ClawHammerDesc,"Отличный инструмент для ремонта и модернизации блоков. Может использоваться в качестве оружия"
meleeToolRepairT3Nailgun,"Строительный пистолет"
meleeToolRepairT3NailgunDesc,"Лучшее средство восстановления и модернизации блоков. Может использоваться в качестве оружия"
meleeToolSalvageT1Wrench,"Гаечный ключ"
meleeToolSalvageT1WrenchDesc,"Инструмент для разборки механических устройств, таких как автомобили, кондиционеры и многое другое. Может ремонтировать автомобили"
meleeToolSalvageT2Ratchet,"Трещотка"
meleeToolSalvageT2RatchetDesc,"Инструмент для разборки механических устройств, таких как автомобили, кондиционеры и многое другое. Может ремонтировать автомобили"
meleeToolSalvageT3ImpactDriver,"Гайковёрт"
meleeToolSalvageT3ImpactDriverDesc,"Инструмент для разборки механических устройств, таких как автомобили, кондиционеры и многое другое. Может ремонтировать автомобили"
meleeToolShovelIron,"Железная лопата"
meleeToolShovelIronDesc,"Отличный инструмент для копки грязи, песка или снега."
meleeToolShovelSteel,"Стальная лопата"
meleeToolShovelSteelDesc,"Отличный инструмент для копки грязи, песка или снега"
meleeToolShovelT0StoneShovel,"Каменная лопата"
meleeToolShovelT0StoneShovelDesc," Примитивный инструмент для копки грязи, песка или снега, лучше чем ничего"
meleeToolShovelT1IronShovel,"Железная лопата"
meleeToolShovelT1IronShovelBlueprint,"[B2DFFF]Схема железной лопаты[-]"
meleeToolShovelT1IronShovelBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolShovelT1IronShovelDesc,"Отличный инструмент для копки грязи, песка или снега"
meleeToolShovelT2SteelShovel,"Стальная лопата"
meleeToolShovelT2SteelShovelBlueprint,"[B2DFFF]Схема стальной лопаты[-]"
meleeToolShovelT2SteelShovelBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeToolShovelT2SteelShovelDesc,"Отличный инструмент для копки грязи, песка или снега."
meleeToolTorch,"Факел"
meleeToolTorchDesc,"Может использоваться как источник света. Имеет шанс поджечь врагов"
meleeWpnBatonT2StunBaton,"Шоковая дубинка"
meleeWpnBatonT2StunBatonDesc,"Сочетание примитивной грубой силы и технологий"
meleeWpnBladeT0BoneKnife,"Костяная заточка"
meleeWpnBladeT0BoneKnifeDesc,"Полезен для потрошения животных. Атаки могут вызвать кровотечение"
meleeWpnBladeT1CandyKnife,"Конфетный нож"
meleeWpnBladeT1CandyKnifeDesc,"Поразите врагов в праздничном настроении!"
meleeWpnBladeT1HuntingKnife,"Охотничий нож"
meleeWpnBladeT1HuntingKnifeDesc,"Полезен при потрошении животных. Атаки могут вызвать кровотечение"
meleeWpnBladeT3Machete,"Мачете из лома"
meleeWpnBladeT3MacheteDesc,"Полезен при потрошении животных. Атаки могут вызвать кровотечение"
meleeWpnBladeT3MacheteSchematic,"[B2DFFF]Схема мачете из лома[-]"
meleeWpnBladeT3MacheteSchematicDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeWpnClubT0WoodenClub,"Деревянная дубинка"
meleeWpnClubT0WoodenClubDesc,"Примитивное дробящее оружие, хорошее для перелома колен и черепов."
meleeWpnClubT1BaseballBat,"Бейсбольная бита"
meleeWpnClubT1BaseballBatDesc,"Среднее тупое оружие для разбивания коленей и черепов"
meleeWpnClubT1CandyClub,"Конфетная дубинка"
meleeWpnClubT1CandyClubDesc,"Поразите врагов в праздничном настроении!"
meleeWpnClubT3SteelClub,"Стальная дубинка"
meleeWpnClubT3SteelClubBlueprint,"[B2DFFF]Схема стальной дубинка[-]"
meleeWpnClubT3SteelClubBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeWpnClubT3SteelClubDesc,"Сильно бьющая и прочная дубина для разбивания черепов"
meleeWpnKnucklesT0LeatherKnuckles,"Обмотки для кулаков"
meleeWpnKnucklesT0LeatherKnucklesDesc,"Защищает руки и делает удары более сильными"
meleeWpnKnucklesT1IronKnuckles,"Железный кастет"
meleeWpnKnucklesT1IronKnucklesDesc,"Защищает руки и делает удары более сильными"
meleeWpnKnucklesT3SteelKnuckles,"Стальной кастет"
meleeWpnKnucklesT3SteelKnucklesDesc,"Защищает руки и делает удары более сильными. Им можно свежевать"
meleeWpnSledgeT0StoneSledgehammer,"Каменная кувалда"
meleeWpnSledgeT0StoneSledgehammerDesc,"Одно из лучших орудий для раскалывания черепов"
meleeWpnSledgeT1IronSledgehammer,"Железная кувалда"
meleeWpnSledgeT1IronSledgehammerDesc,"Одно из лучших орудий для раскалывания черепов"
meleeWpnSledgeT3SteelSledgehammer,"Стальная кувалда"
meleeWpnSledgeT3SteelSledgehammerDesc,"Одно из лучших орудий для раскалывания черепов"
meleeWpnSpearT0StoneSpear,"Каменное копьё"
meleeWpnSpearT0StoneSpearDesc,"Может использоваться как оружие ближнего боя или можно метнуть"
meleeWpnSpearT1IronSpear,"Железное копьё"
meleeWpnSpearT1IronSpearDesc,"Может использоваться как оружие ближнего боя или можно метнуть"
meleeWpnSpearT3SteelSpear,"Стальное копьё"
meleeWpnSpearT3SteelSpearBlueprint,"[B2DFFF]Схема стального копья[-]"
meleeWpnSpearT3SteelSpearBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
meleeWpnSpearT3SteelSpearDesc,"Может использоваться как оружие ближнего боя или можно метнуть"
metalReinforcedDoorWoodenPicked,"Металлическая усиленная дверь\n[808080](Взломана)[-]"
metalReinforcedWoodDrawBridgePoweredBlueprint,"[B2DFFF]Схема электрического усиленного подъемного моста[-]"
metalReinforcedWoodDrawBridgePoweredBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
mineAirFilterBlueprint,"[B2DFFF]Схема мины из фильтра[-]"
mineAirFilterBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
mineCookingPotBlueprint,"[B2DFFF]Схема мины из кастрюли[-]"
mineCookingPotBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
mineHubcapBlueprint,"[B2DFFF]Схема мины из колпака[-]"
mineHubcapBlueprintDesc,"Позволяет изучить новый рецепт. Если уже изучено, дает XP при использовании."
misc,"Разное"
modularRopeTiled,"Канат"
modularRopeTiledDesc,"[decea3]Можно использовать для подъема и спуска.[-] Не очень долговечны по сравнению с лестницами."
msgBuildingEnvironment,"Пожалуйста, подождите...\nВ поисках убежища"
msgGeneratingDistantTerrain,"Пожалуйста, подождите...\nИщем бинокль"
msgStartingGame,"Пожалуйста, подождите...\nПереплавка руды"
npcTooltipTalk,"[73E9B2][{0}][-] Говорить с {1}"
oldCash,"Старые деньги"
oldCashDesc,"Раньше это было платежным средством. Отличный заменитель туалетной бумаги. Некоторые торговцы могут быть заинтересованы в покупке этого."
opt_0P,"Отключено_787"
opt_100P,"Стандартный"
opt_10h,"10 часов"
opt_10m,"10 минут"
opt_11h,"11 часов"
opt_125P,"125%"
opt_12h,"12 часов"
opt_150P,"150%"
opt_15m,"15 минут"
opt_175P,"175%"
opt_1h,"1 часов"
opt_200P,"200%"
opt_20m,"20 минут"
opt_25P,"25%"
opt_2h,"2 часов"
opt_2m,"2 минут"
opt_30m,"30 минут"
opt_3h,"3 часов"
opt_4h,"4 часов"
opt_50P,"50%"
opt_5h,"5 часов"
opt_5m,"5 минут"
opt_6h,"6 часов"
opt_75P,"75%"
opt_7h,"7 часов"
opt_8h,"8 часов"
opt_9h,"9 часов"
opt_BlockRespawnRate,"Время восстановления машин"
opt_BlockRespawnRateDesc,"Количество дней до восстановления автомобилей после того, как они были полностью разобраны, не влияет на отремонтированные."
opt_BlockWeightMult,"Вес блока"
opt_BlockWeightMultDesc,"Складывает все значения веса блока"
opt_DroppedLootDecay,"Удаление выпавшей добычи"
opt_DroppedLootDecayDesc,"Определяет, как быстро удалится добыча с убитых врагов."
opt_FoodBurnRate,"Показатель голода"
opt_FoodBurnRateDesc,"Определяет, насколько быстро снижается голод во время бездействия."
opt_ItemWeightMult,"Вес предмета"
opt_ItemWeightMultDesc,"Складывает все значения веса предмета"
opt_Percents,"{0}%"
opt_RecipeFilter1,"Стандартный"
opt_RecipeFilter2,"На каждый верстак"
opt_RecipeFilter3,"Выживание по-настоящему"
opt_ShowUnknownRecipes,"Фильтр для рецептов"
opt_ShowUnknownRecipesDesc,"[decea3]Стандартный[-] - Показывает все рецепты, поиск без фильтрации (Ваниль).\n[decea3]На каждый верстак[-] - Показывает неизвестные рецепты, поиск ограничен рабочей станцией.\n[decea3]Выживание по-настоящему[-] - Показывает только известные и относящиеся к рабочей станции рецепты."
opt_StartTutorialQuest,"Обучающий квест"
opt_StartTutorialQuestDesc,"Запустите обучающий квест при запуске игры.\nЕсли вы впервые играете в Undead Legacy, рекомендуется сделать его хотя бы один раз."
opt_UndeadLegacyVersion,"Undead Legacy Version"
opt_UndeadLegacyVersionDesc,"Версия Undead Legacy, запущенная на сервере."
opt_WaterBurnRate,"Уровень гидратации"
opt_WaterBurnRateDesc,"Определяет, насколько быстро снижается гидратация в режиме ожидания."
organic,"Органика"
palletBrownBoxesBase,"Сложенные коробки"
palletBrownBoxesLoose,"Сложенные коробки"
palletBrownBoxesTile,"Поддон с сложенными коробками"
palletBrownBoxesTile,"Сложенные коробки"
palletBrownBoxesTop,"Коробки"
paper,"Бумага"
perkAdvancedEngineeringRank1Desc,"Кузницы работают [decea3]на 20%[-] быстрее. Для изготовления клея требуется меньше ресурсов"
perkAdvancedEngineeringRank2Desc,"Верстаки и бетономешалки работают [decea3]на 20%[-] быстрее"
perkAdvancedEngineeringRank3Desc,"Получите [decea3] 20% [-] опыта за убийства с помощью электрических ловушек. Все рецепты кузницы стоят на [decea3] на 10% [-] меньше, изготовление кованой стали и электрических устройств стоит на [decea3] на 15% [-] меньше"
perkAdvancedEngineeringRank4Desc,"Получите [decea3] 35% [-] опыта за убийства электрическими ловушками. Все рецепты кузницы стоят [decea3] на 15% [-] меньше, изготовление кованой стали и электрических устройств стоит [decea3] на 25% [-] меньше"
perkAdvancedEngineeringRank5Desc,"Получите [decea3] 50% [-] EXP от убийств электрической ловушкой. Все рецепты кузницы стоят на [decea3] на 20% [-] меньше, изготовление кованой стали и электрических устройств стоит на [decea3] на 35% [-] меньше"
perkAnimalTrackerRank1Desc,"Отслеживайте мелкую дичь, например кроликов, змей или кур. Они отмечены на вашем компасе и карте."
perkAnimalTrackerRank2Desc,"Отслеживайте среднюю дичь, например оленей, кабанов, волков и койотов."
perkAnimalTrackerRank3Desc,"Отслеживайте большую дичь, например, горных львов и медведей"
perkArchery1,"У луков и арбалетов на [decea3] 5% [-] больше урон, скорость прицеливания, натяжения и перезарядки."
perkArchery2,"У луков и арбалетов на [decea3] 10% [-] лучший урон, скорость прицеливания, натяжения и перезарядки."
perkArchery3,"У луков и арбалетов на [decea3] 15% [-] лучший урон, скорость прицеливания, натяжения и перезарядки."
perkArchery4,"У луков и арбалетов на [decea3] 20% [-] лучший урон, скорость прицеливания, натяжения и перезарядки."
perkArchery5,"У луков и арбалетов на [decea3] 25% [-] лучший урон, скорость прицеливания, натяжения и перезарядки."
perkBarBrawling1BasicMovesDesc,"Наносите [decea3]на 10%[-] больше урона кулаками, кожаными обмотками, железными и шипованными кастетами."
perkBarBrawling2DropABombDesc,"Атаки с разбега имеют шанс сбить с ног"
perkBarBrawling3KillerInstinctDesc,"Получите [decea3]5%[-] урона с каждым убийством, до [decea3]15%[-]. После [decea3]10[-] секунд, без убийств, он понижается на один уровень"
perkBarBrawling4FinishingMovesDesc,"Нанесите [decea3]20%[-] дополнительного урона сбитым и оглушенным противникам"
perkBarBrawling5AdrenalineHealingDesc,"В бою здоровье восстанавливается на [decea3]1 ОЗ[-] с каждым ударом."
perkBarBrawling6RageModeDesc,"После попадания в драку атаки [decea3]на 20%[-] быстрее и увеличивают скорость движения на [decea3]10%[-]"
perkBarBrawling7BoozedUpDesc,"Употребление пива больше не затуманивает ваше зрение, и ваш кайф длится в два раза дольше"
perkBarBrawling8CompleteDesc,"[decea3]7й[-] безоружный удар, нанесенный за короткое время, наносит [decea3]300%[-] урона"
perkBetterBarter1,"Лучшие цены на покупку/продажу [decea3]4%[-]"
perkBetterBarter2,"Лучшие цены на покупку/продажу [decea3]8%[-]"
perkBetterBarter3,"Лучшие цены на покупку/продажу [decea3]12%[-]\nПредметов в тайнике [decea3]+1[-]"
perkBetterBarter4,"Лучшие цены на покупку/продажу [decea3]16%[-]\nПредметов в тайнике [decea3]+2[-]"
perkBetterBarter5,"Лучшие цены на покупку/продажу [decea3]20%[-]\nПредметов в тайнике [decea3]+3[-]"
perkBoomstick1,"Дробовики имеют больший урон, скорострельность и более высокую скорость перезарядки на [decea3]5%[-]."
perkBoomstick2,"Дробовики имеют больший урон, скорострельность и более высокую скорость перезарядки на [decea3]10%[-]. Оглушает врагов на [decea3]4[-] секунд"
perkBoomstick3,"Дробовики имеют больший урон, скорострельность и более высокую скорость перезарядки на [decea3]15%[-]. Оглушает врагов на [decea3]6[-] секунд"
perkBoomstick4,"Дробовики имеют больший урон, скорострельность и более высокую скорость перезарядки на [decea3]20%[-]. Оглушает врагов на [decea3]8[-] секунд"
perkBoomstick5,"Дробовики имеют больший урон, скорострельность и более высокую скорость перезарядки на [decea3]25%[-]. Оглушает врагов на [decea3]8[-] секунд. [decea3]Выстрелы в ноги калечат противников[-]"
perkBrawler1,"Наносите на [decea3]5%[-] больше урона кулаками и кулачным оружием, удары по голове сводят на нет способность заражения"
perkBrawler2,"Наносите на [decea3]10%[-] больше урона кулаками и кулачным оружием. Силовые атаки имеют [decea3]30%[-] шанс оглушить врагов"
perkBrawler3,"Наносите на [decea3]15%[-] больше урона кулаками и кулачным оружием, силовые атаки в голову имеют [decea3]20%[-] шанс нокдауна"
perkBrawler4,"Наносите на [decea3]20%[-] больше урона кулаками и кулачным оружием, силовые атаки в голову имеют [decea3]30%[-] шанс нокдауна"
perkBrawler5,"Наносите на [decea3]25%[-] больше урона кулаками и кулачным оружием, на [decea3]20%[-] выше шанс обезглавить врагов ударами."
perkCharismaticNatureRank1Desc,"Ближайшие союзники получают [decea3]20[-] здоровья и выносливости."
perkCharismaticNatureRank2Desc,"Ближайшие союзники получают бонус [decea3]20%[-] урона в ближнем бою и урона по блокам"
perkCharismaticNatureRank3Desc,"Ближайшие союзники получают [decea3]10%[-] сопротивления против всех источников урона, получают на [decea3]50%[-] меньше урона от кровотечения и кровоточат на [decea3]50%[-] медленнее."
perkCharismaticNatureRank4Desc,"Близлежащие союзники получают [decea3]+1[-] ко всем атрибутам"
perkDaringAdventurer1,"Получайте [decea3]+5%[-] больше дюков за выполнение миссий. Дополнительный выбор награды за выполнение миссий"
perkDaringAdventurer2,"Получайте [decea3]+10%[-] больше дюков за выполнение миссий."
perkDaringAdventurer3,"Получайте [decea3]+15%[-] больше дюков за выполнение миссий. Дополнительный выбор награды за выполнение миссий"
perkDaringAdventurer4,"Получайте [decea3]+20%[-] больше дюков за выполнение миссий. Дополнительная награда за выполнение миссий"
perkDeadEye1,"Охотничьи и снайперские винтовки имеют на [decea3]5%[-] больше урона и лучшее прицеливание, а также перезаряжаются на [decea3]4%[-] быстрее"
perkDeadEye2,"Охотничьи и снайперские винтовки имеют на [decea3]10%[-] больше урона и лучшее прицеливание, а также перезаряжаются на [decea3]8%[-] быстрее"
