Key,English
resourceScrapIronDesc,"A core resource for crafting, forging, repairing & upgrading. Next to wood there's nothing more useful."
resourceScrapLead,"Scrap Lead"
resourceScrapLeadDesc,"A core resource for forging. Can be used to make bullet tips and more."
resourceScrapPolymers,"Scrap Plastic"
resourceScrapPolymersDesc,"Random bits of scrap plastic, that you can carefully mold into new shapes."
resourceSilverNugget,"Silver Nugget"
resourceSilverNuggetDesc,"Maybe I should keep this, werewolves in the apocalypse are totally possible right?"
resourceTrophy1,"Brass Trophy"
resourceTrophy1Desc,"It would be more useful if scrapped in the [decea3]Recycler[-]."
resourceTrophy2,"Lead Trophy"
resourceTrophy2Desc,"Lead objects can be scrapped into scrap lead in the [decea3]Recycler[-]."
resourceWood,"Salvaged Old Boards"
resourceWoodDesc,"Some old boards, that don't have much use"
stove,"Stove"
toolBeaker,"Beaker"
toolBeakerDesc,"Required tool for making a chemistry station."
toolBellows,"Bellows"
toolBellowsDesc,"Helps better manage airflow in the forge, increasing it's crafting speed by [decea3]25%[-]"
resourceYuccaFibers,"Plant Fibers"
resourceYuccaFibersDesc,"Plant fibers are acquired from destroying grass & small plants. Can be used to craft many things and for planting grass using the secondary action."
thrownDynamite,"Dynamite"
thrownDynamiteDesc,"Can be lit with the secondary action & thrown with the primary action. The throwing part is very important."
thrownAmmoPipeBomb,"Pipe Bomb"
thrownGrenade,"Grenade"
thrownGrenadeContact,"Contact Grenade"
thrownAmmoMolotovCocktail,"Molotov Cocktail"
thrownTimedCharge,"Timed Charge"
toolAnvil,"Anvil"
toolAnvilDesc,"Required to make [decea3]Blacksmith's Forge (Tier 2)[-], which will allow shaping more advanced metals."
toolForgeCrucible,"Crucible"
toolForgeCrucibleDesc,"Required to make [decea3]Furnace (Tier 2)[-], which will allow processing of silver, gold, steel and titanium."
questReward4x4PartsBundle,"Car Parts"
questRewardPipePistolBundle,"Rusty Revolver"
questRewardPipePistolBundleDesc,"Bundle containing a Rusty Revolver and some ammo for it."
questRewardPipeShotgunBundle,"Pipe Shotgun"
questRewardPipeShotgunBundleDesc,"Bundle containing a Pipe Shotgun and some ammo for it."
questRewardPipeRifleBundle,"Pipe Rifle"
questRewardPipeRifleBundleDesc,"Bundle containing a Pipe Rifle and some ammo for it."
questRewardPipeMachineGunBundle,"Pipe Machine Gun"
questRewardPipeMachineGunBundleDesc,"Bundle containing a Pipe Machine Gun and some ammo for it."
questRewardPipeBatonBundle,"Pipe Baton"
questRewardPipeBatonBundleDesc,"Bundle containing a Pipe Baton, a Repair Kit and some First Aid Bandages."
questRewardSteelKnuckleCraftingBundle,"Steel Knuckle Crafting"
questRewardSteelKnuckleCraftingBundleDesc,"Bundle containing some components for crafting Steel Knuckles."
questRewardMacheteCraftingBundle,"Machete Crafting"
questRewardMacheteCraftingBundleDesc,"Bundle containing some components for crafting a Steel Machete."
questRewardSteelClubCraftingBundle,"Steel Club Crafting"
questRewardSteelClubCraftingBundleDesc,"Bundle containing some components for crafting a Steel Club."
questRewardSteelSledgehammerCraftingBundle,"Steel Sledge Crafting"
questRewardSteelSledgehammerCraftingBundleDesc,"Bundle containing some components for crafting a Steel Sledgehammer."
questRewardBowCraftingBundle,"Wooden Bow Crafting"
questRewardBowCraftingBundleDesc,"Bundle containing some components for crafting a Wooden Bow along with some ammo for it."
questRewardSteelSpearCraftingBundle,"Steel Spear Crafting"
questRewardSteelSpearCraftingBundleDesc,"Bundle containing some components for crafting a Steel Spear."
questRewardHandgunCraftingBundle,"9mm Pistol Crafting"
questRewardHandgunCraftingBundleDesc,"Bundle containing some components for crafting a Bengal M9 9mm Pistol along with some ammo for it."
questRewardShotgunCraftingBundle,"Shotgun Crafting"
questRewardShotgunCraftingBundleDesc,"Bundle containing some components for crafting a Shotgun along with some ammo for it."
questRewardRifleCraftingBundle,"Rifle Crafting"
questRewardRifleCraftingBundleDesc,"Bundle containing some components for crafting a Rifle along with some ammo for it."
questRewardMachineGunCraftingBundle,"Machine Gun Crafting"
questRewardMachineGunCraftingBundleDesc,"Bundle containing some components for crafting a Machine Gun along with some ammo for it."
questRewardRocketLauncherCraftingBundle,"Rocket Launcher Crafting"
questRewardRocketLauncherCraftingBundleDesc,"Bundle containing some components for crafting a Rocket Launcher along with some ammo for it."
questRewardBatonCraftingBundle,"Stun Baton Crafting"
questRewardBatonCraftingBundleDesc,"Bundle containing some components for crafting a Stun Baton."
questRewardRoboticsCraftingBundle,"Robotics Crafting"
questRewardRoboticsCraftingBundleDesc,"Bundle containing some components for crafting a Portable Turret along with some ammo for it."
questRewardSteelToolsCraftingBundle,"Steel Tools Crafting"
questRewardSteelToolsCraftingBundleDesc,"Bundle containing some components for crafting steel tools."
questRewardMotorToolsCraftingBundle,"Motor Tools Crafting"
questRewardMotorToolsCraftingBundleDesc,"Bundle containing some components for crafting motor tools."
questRewardLegendarySteelKnuckleCraftingBundle,"Superior Knuckle Crafting"
questRewardLegendarySteelKnuckleCraftingBundleDesc,"Bundle containing some components for crafting Steel Knuckles and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryMacheteCraftingBundle,"Superior Steel Machete Crafting"
questRewardLegendaryMacheteCraftingBundleDesc,"Bundle containing some components for crafting a Steel Machete and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendarySteelClubCraftingBundle,"Superior Steel Club Crafting"
questRewardLegendarySteelClubCraftingBundleDesc,"Bundle containing some components for crafting a Steel Club and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendarySteelSledgehammerCraftingBundle,"Superior Steel Sledge Crafting"
questRewardLegendarySteelSledgehammerCraftingBundleDesc,"Bundle containing some components for crafting a Steel Sledge and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryBowCraftingBundle,"Superior Bow Crafting"
questRewardLegendaryBowCraftingBundleDesc,"Bundle containing some components for crafting Bows and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendarySteelSpearCraftingBundle,"Superior Steel Spear Crafting"
questRewardLegendarySteelSpearCraftingBundleDesc,"Bundle containing some components for crafting a Steel Spear and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryHandgunCraftingBundle,"Superior 9mm Pistol Crafting"
questRewardLegendaryHandgunCraftingBundleDesc,"Bundle containing some components for crafting 9mm Pistol and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryShotgunCraftingBundle,"Superior Shotgun Crafting"
questRewardLegendaryShotgunCraftingBundleDesc,"Bundle containing some components for crafting a Shotgun and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryRifleCraftingBundle,"Superior Rifle Crafting"
questRewardLegendaryRifleCraftingBundleDesc,"Bundle containing some components for crafting a Rifle and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryMachineGunCraftingBundle,"Superior Machine Gun Crafting"
questRewardLegendaryMachineGunCraftingBundleDesc,"Bundle containing some components for crafting a Machine Gun and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryRocketLauncherCraftingBundle,"Superior Rocket Launcher Crafting"
questRewardLegendaryRocketLauncherCraftingBundleDesc,"Bundle containing some components for crafting a Rocket Launcher and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryBatonCraftingBundle,"Superior Stun Baton Crafting"
questRewardLegendaryBatonCraftingBundleDesc,"Bundle containing some components for crafting a Stun Baton and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryRoboticsCraftingBundle,"Superior Robotics Crafting"
questRewardLegendaryRoboticsCraftingBundleDesc,"Bundle containing some components for crafting a Portable Turret and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendarySteelToolsCraftingBundle,"Superior Steel Tools Crafting"
questRewardLegendarySteelToolsCraftingBundleDesc,"Bundle containing some components for crafting Steel Tools and [decea3]Superior Parts[-] for item upgrading."
questRewardLegendaryMotorToolsCraftingBundle,"Superior Motor Tools Crafting"
questRewardLegendaryMotorToolsCraftingBundleDesc,"Bundle containing some components for crafting Motor Tools and [decea3]Superior Parts[-] for item upgrading."
questRewardT1SkillMagazineBundle,"Research Bundle"
questRewardT1SkillMagazineBundleDesc,"Bundle containing a random assortment of Research Data and research books."
ulmAmmo10mmRoundST,"10mm Round"
ulmAmmo10mmRoundSTDesc,"10mm [decea3]Standard[-] Rounds, commonly used by [decea3]Submachine guns[-]."
ulmAmmo10mmRoundHP,"10mm Round (HP)"
ulmAmmo10mmRoundHPDesc,"10mm [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Submachine guns[-], that has better penetration and accuracy. Banned in most areas."
ulmAmmo10mmRoundAP,"10mm Round (AP)"
ulmAmmo10mmRoundAPDesc,"10mm [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Submachine guns[-] with much higher penetrating power compared to standard rounds."
ulmAmmo38CalRoundST,".38 Round"
ulmAmmo38CalRoundSTDesc,".38 Cal [decea3]Standard[-] Rounds, commonly used by [decea3]Light Handguns[-]."
ulmAmmo38CalRoundHP,".38 Round (HP)"
ulmAmmo38CalRoundHPDesc,".38 Cal [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Light Handguns[-], that has better penetration and accuracy. Banned in most areas."
ulmAmmo38CalRoundAP,".38 Round (AP)"
ulmAmmo38CalRoundAPDesc,".38 Cal [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Light Handguns[-] with much higher penetrating power compared to standard rounds."
ulmAmmo50CalRoundST,".50 Round"
ulmAmmo50CalRoundSTDesc,".50 Cal [decea3]Standard[-] Rounds, commonly used by [decea3]Sniper Rifles[-]."
ulmAmmo50CalRoundHP,".50 Round (HP)"
ulmAmmo50CalRoundHPDesc,".50 Cal [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Sniper Rifles[-], that has better penetration and accuracy. Banned in most areas."
ulmAmmo50CalRoundAP,".50 Round (AP)"
ulmAmmo50CalRoundAPDesc,".50 Cal [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Sniper Rifles[-] with much higher penetrating power compared to standard rounds."
ulmAmmo556mmRoundST,"5.56mm Round"
ulmAmmo556mmRoundSTDesc,"5.56mm [decea3]Standard[-] Rounds, commonly used by [decea3]Combat Rifles[-]."
ulmAmmo556mmRoundHP,"5.56mm Round (HP)"
ulmAmmo556mmRoundHPDesc,"5.56mm [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Combat Rifles[-], that has better penetration and accuracy. Banned in most areas."
ulmAmmo556mmRoundAP,"5.56mm Round (AP)"
ulmAmmo556mmRoundAPDesc,"5.56mm [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Combat Rifles[-] with much higher penetrating power compared to standard rounds."
ulmAmmo792mmRoundST,"7.92mm Round"
ulmAmmo792mmRoundSTDesc,"7.92mm [decea3]Standard[-] Rounds, commonly used by [decea3]Sniper Rifles[-]."
ulmAmmo792mmRoundHP,"7.92mm Round (HP)"
ulmAmmo792mmRoundHPDesc,"7.92mm [decea3]Hollow-point[-] Rounds, an alternative ammo for [decea3]Sniper Rifles[-], that has better penetration and accuracy. Banned in most areas."
ulmAmmo792mmRoundAP,"7.92mm Round (AP)"
ulmAmmo792mmRoundAPDesc,"7.92mm [decea3]Armor Piercing[-] Rounds, an alternative ammo for [decea3]Sniper Rifles[-] with much higher penetrating power compared to standard rounds."
ulmAmmoFuelBiofuel,"Biofuel"
ulmAmmoFuelBiofuelDesc,"Portable container, that can contain some biofuel inside."
ulmAmmoFuelBarrelEmpty,"Empty Fuel Barrel"
ulmAmmoFuelBarrelEmptyDesc,"Portable container, that can be filled with up to [decea3]60[-] Gasoline either by crafting or interacting with a block containing Gasoline."
ulmAmmoFuelCanEmpty,"Empty Fuel Can"
ulmAmmoFuelCanEmptyDesc,"Portable container, that can be filled with up to [decea3]20[-] Gasoline either by crafting or interacting with a block containing Gasoline."
ulmAmmoFuelGasoline,"Gasoline"
ulmAmmoFuelGasolineDesc,"Portable container, that can store up to [decea3]20[-] Gasoline inside."
ulmAmmoFuelGasolineBarrel,"Gasoline Barrel"
ulmAmmoFuelGasolineBarrelDesc,"Portable container, that can store up to [decea3]60[-] Gasoline inside."
ulmAmmoFuelJetFuel,"Jet Fuel"
ulmAmmoFuelJetFuelDesc,"Portable container, that can contain some aviation grade fuel inside."
ulmAmmoGasPropane,"Propane Canister"
ulmAmmoGasPropaneDesc,"A sturdy metal canister, that holds highly flammable gas inside."
ulmAmmoGasEmpty,"Empty Gas Canister"
ulmAmmoGasEmptyDesc,"An empty sturdy metal canister, that can be filled with gas."
ulmArmor8PCoverHatDesc,"Features eight distinct points (seams) around the crown, that give a more rigid and boxy shape, traditionally worn by Marine Corps or Navy."
ulmArmor8PCoverHatBlack,"8 Point Cover (Black)"
ulmArmor8PCoverHatDesert,"8 Point Cover (Desert)"
ulmArmor8PCoverHatGreen,"8 Point Cover (Green)"
ulmArmor8PCoverHatTan,"8 Point Cover (Tan)"
ulmArmor8PCoverHatWoodlands,"8 Point Cover (Woodlands)"
ulmArmorArmyHelmet1Desc,"Most commonly used by the general military units."
ulmArmorArmyHelmet1Green,"Military Helmet (Green)"
ulmArmorArmyHelmet1Savanna,"Military Helmet (Savanna)"
ulmArmorArmyHelmet1Urban,"Military Helmet (Urban)"
ulmArmorArmyHelmet1Woodlands,"Military Helmet (Woodlands)"
ulmArmorArmyHelmet2Desc,"Most commonly used by the tactical response military units, featuring multiple accessory attachment points."
ulmArmorArmyHelmet2Black,"Tactical Helmet (Black)"
ulmArmorArmyHelmet2Desert,"Tactical Helmet (Desert)"
ulmArmorArmyHelmet2Green,"Tactical Helmet (Green)"
ulmArmorArmyHelmet2Savanna,"Tactical Helmet (Savanna)"
ulmArmorArmyHelmet3Desc,"Most commonly used by the subdivision military task force breacher units."
ulmArmorArmyHelmet3Black,"Breacher Helmet (Black)"
ulmArmorArmyHelmet3Olive,"Breacher Helmet (Olive)"
ulmArmorArmyHelmet3Sand,"Breacher Helmet (Sand)"
ulmArmorBeanieHat,"Warm Beanie"
ulmArmorBeanieHatDesc,"Very comfortable and warm Beanie."
ulmArmorBoneHelmet,"Bone Helmet"
ulmArmorBoneHelmetDesc,"Offers both protection and a fearsome visage. Worn by raiders and survivors alike, it’s as much a symbol of dominance as it is a shield against the dangers of the world."
ulmArmorBonnieHatDesc,"This soft, wide-brimmed hat was designed to shield its wearer from sun and rain, making it a favorite among soldiers and outdoorsmen. Lightweight and practical, it remains a reliable choice for long journeys through unforgiving terrain."
ulmArmorBonnieHatBlack,"Bonnie Hat (Black)"
ulmArmorBonnieHatCamo,"Bonnie Hat (Camo)"
ulmArmorBonnieHatGreen,"Bonnie Hat (Green)"
ulmArmorBonnieHatTan,"Bonnie Hat (Tan)"
ulmArmorBonnieHatUrban,"Bonnie Hat (Urban)"
ulmArmorBrodieHelmetGreen,"Old War Helmet (Green)"
ulmArmorBrodieHelmetGreenDesc,"Designed from forming thick steel in a single pressing and is resistant to projectiles from the top, but offers little protection on the lower head and neck areas."
ulmArmorBrodieHelmetGray,"Old War Helmet (Grey)"
ulmArmorBrodieHelmetGrayDesc,"Designed from forming thick steel in a single pressing and is resistant to projectiles from the top, but offers little protection on the lower head and neck areas."
ulmArmorBrodieHelmetMetal,"Old War Helmet (Metal)"
ulmArmorBrodieHelmetMetalDesc,"Designed from forming thick steel in a single pressing and is resistant to projectiles from the top, but offers little protection on the lower head and neck areas."
ulmArmorCommanderHat,"Commanders Hat"
ulmArmorCommanderHatDesc,"Military commanders hat that symbolizes leadership and power."
ulmArmorCowboyHatDesert,"Cowboy Hat (Desert)"
ulmArmorCowboyHatDesertDesc,"A wide-brimmed classic once worn by ranchers and drifters, this cowboy hat offers shade from the sun and a rugged touch of old-world style. In the wastes, it’s less about protection and more about the grit and character it represents."
ulmArmorCowboyHatSheriff,"Cowboy Hat (Sheriff)"
ulmArmorCowboyHatBrown,"Cowboy Hat (Brown)"
ulmArmorEnforcerHatBlack,"Enforcer Hat (Black)"
ulmArmorEnforcerHatBlackDesc,"Standard issue law enforcer headwear"
ulmArmorEnforcerHatBlue,"Enforcer Hat (Blue)"
ulmArmorEnforcerHatBlueDesc,"Standard issue law enforcer headwear"
ulmArmorFirefighterHelmetRusty,"Firefighter Helmet (Rusty)"
ulmArmorFirefighterHelmetRustyDesc,"Standard issue Navezgane firefighter helmet. It's a bit rusty and has seen better days, but can still offer decent protection."
ulmArmorFirefighterHelmetBlack,"Firefighter Helmet (Black)"
ulmArmorFirefighterHelmetBlackDesc,"Standard issue Navezgane firefighter helmet. It's a bit rusty and has seen better days, but can still offer decent protection."
ulmArmorFirefighterHelmetRed,"Firefighter Helmet (Red)"
ulmArmorFirefighterHelmetRedDesc,"Standard issue Navezgane firefighter helmet. It's a bit rusty and has seen better days, but can still offer decent protection."
ulmArmorGraduateHat,"Graduate Hat"
ulmArmorGraduateHatDesc,"In some educational institutions it's a tradition to wear such headwear upon graduation."
ulmArmorHardHatYellow,"Hard Hat (Yellow)"
ulmArmorHardHatYellowDesc,"A sturdy construction helmet, offering decent protection against debris and blunt impacts, making it a practical find in survival situations."
ulmArmorHardHatBlue,"Hard Hat (Blue)"
ulmArmorHardHatBlueDesc,"A sturdy construction helmet, offering decent protection against debris and blunt impacts, making it a practical find in survival situations."
ulmArmorLeatherHelmet,"Leather Helmet"
ulmArmorLeatherHelmetDesc,"Offers modest protection, but its sturdy hide and reinforced stitching make it a reliable choice for those who can’t afford better gear in the harshness of the wastes."
ulmArmorMetalHelmet,"Metal Helmet"
ulmArmorMetalHelmetDesc,"A couple of sheets of scrap metal bent, twisted and molded into something that's resembles a helmet."
ulmArmorMotoHelmetDesc,"Built for the open road, this motorcycle helmet features a full-face design offering reliable protection, though its weight can be a burden during long treks."
ulmArmorMotoHelmetWhite,"Moto Helmet (White)"
ulmArmorMotoHelmetWhiteBlack,"Moto Helmet (White-Black)"
ulmArmorMotoHelmetWhiteBlue,"Moto Helmet (White-Blue)"
ulmArmorMotoHelmetWhiteGreen,"Moto Helmet (White-Green)"
ulmArmorMotoHelmetWhiteOrange,"Moto Helmet (White-Orange)"
ulmArmorMotoHelmetWhitePink,"Moto Helmet (White-Pink)"
ulmArmorMotoHelmetWhitePurple,"Moto Helmet (White-Purple)"
ulmArmorMotoHelmetWhiteRed,"Moto Helmet (White-Red)"
ulmArmorMotoHelmetBlack,"Moto Helmet (Black)"
ulmArmorMotoHelmetBlackBlue,"Moto Helmet (Black-Blue)"
ulmArmorMotoHelmetBlackGreen,"Moto Helmet (Black-Green)"
ulmArmorMotoHelmetBlackOrange,"Moto Helmet (Black-Orange)"
ulmArmorMotoHelmetBlackPink,"Moto Helmet (Black-Pink)"
ulmArmorMotoHelmetBlackPurple,"Moto Helmet (Black-Purple)"
ulmArmorMotoHelmetBlackRed,"Moto Helmet (Black-Red)"
ulmArmorMotoHelmetBlackWhite,"Moto Helmet (Black-White)"
ulmArmorMotoHelmetBlue,"Moto Helmet (Blue)"
ulmArmorMotoHelmetBlueBlack,"Moto Helmet (Blue-Black)"
ulmArmorMotoHelmetBlueRed,"Moto Helmet (Blue-Red)"
ulmArmorMotoHelmetBlueWhite,"Moto Helmet (Blue-White)"
ulmArmorMotoHelmetCamoBlack,"Moto Helmet (Camo-Black)"
ulmArmorMotoHelmetCamoBlue,"Moto Helmet (Camo-Blue)"
ulmArmorMotoHelmetCamoRed,"Moto Helmet (Camo-Red)"
ulmArmorMotoHelmetCamoWhite,"Moto Helmet (Camo-White)"
ulmArmorMotoHelmetDigitalBlack,"Moto Helmet (Digital-Black)"
ulmArmorMotoHelmetDigitalBlue,"Moto Helmet (Digital-Blue)"
ulmArmorMotoHelmetDigitalRed,"Moto Helmet (Digital-Red)"
ulmArmorMotoHelmetDigitalWhite,"Moto Helmet (Digital-White)"
ulmArmorMotoHelmetGold,"Moto Helmet (Gold)"
ulmArmorMotoHelmetRed,"Moto Helmet (Red)"
ulmArmorMotoHelmetRedBlack,"Moto Helmet (Red-Black)"
ulmArmorMotoHelmetRedBlue,"Moto Helmet (Red-Blue)"
ulmArmorMotoHelmetRedWhite,"Moto Helmet (Red-White)"
ulmArmorMotoHelmetTan,"Moto Helmet (Tan)"
ulmArmorMotoHelmetTanBlack,"Moto Helmet (Tan-Black)"
ulmArmorMotoHelmetTanBlue,"Moto Helmet (Tan-Blue)"
ulmArmorMotoHelmetTanRed,"Moto Helmet (Tan-Red)"
ulmArmorMotoHelmetTanWhite,"Moto Helmet (Tan-White)"
ulmArmorNewsboyHatDesc,"A touch of vintage charm to even the harshest wasteland attire. Light and comfortable and features a distinctive style, making it a prized find for those clinging to old-world trends."
ulmArmorNewsboyHatBeige,"Newsboy Hat (Beige)"
ulmArmorNewsboyHatBlack,"Newsboy Hat (Black)"
ulmArmorNewsboyHatBlueCamo,"Newsboy Hat (Blue Camo)"
ulmArmorNewsboyHatBrownLeather,"Newsboy Hat (Brown Leather)"
ulmArmorNewsboyHatDarkCamo,"Newsboy Hat (Dark Camo)"
ulmArmorNewsboyHatDarkGray,"Newsboy Hat (Dark Grey)"
ulmArmorNewsboyHatLightGray,"Newsboy Hat (Light Grey)"
ulmArmorNewsboyHatMilitaryGreen,"Newsboy Hat (Military Green)"
ulmArmorNewsboyHatRedPlaid,"Newsboy Hat (Red Plaid)"
ulmArmorNewsboyHatRustLeather,"Newsboy Hat (Rust Leather)"
ulmArmorSafariHat,"Safari Hat"
ulmArmorSafariHatDesc,"Offers modest protection from the heat."
ulmArmorStrawConeHat,"Straw Cone Hat"
ulmArmorStrawConeHatDesc,"Conically shaped sun hat, that protects wearers head from the sun quite well."
ulmArmorStrawHat,"Tropical Straw Hat"
ulmArmorStrawHatDesc,"Protects wearers head from the sun reasonably well."
ulmArmorSwatHelmet,"SWAT Helmet"
ulmArmorSwatHelmetDesc,"Standard issue special enforcer SWAT unit helmet."
ulmArmorWinterHat1,"Warm Winter Hat"
ulmArmorWinterHat1Desc,"Very well insulated and comfortable winter hat. Perfectly suited for cold environments."
ulmArmorWinterHat2,"Fluffy Winter Hat"
ulmArmorWinterHat2Desc,"Very well insulated and comfortable winter hat. Perfectly suited for cold environments."
ulmArmorWoolHatDesc,"Offers decent protection against cold weather."
ulmArmorWoolHatAloe,"Wool Hat (Aloe)"
ulmArmorWoolHatBlack,"Wool Hat (Black)"
ulmArmorWoolHatBlue,"Wool Hat (Blue)"
ulmArmorWoolHatBrown,"Wool Hat (Brown)"
ulmArmorWoolHatCherry,"Wool Hat (Cherry)"
ulmArmorWoolHatGreen,"Wool Hat (Green)"
ulmArmorWoolHatGrey,"Wool Hat (Grey)"
ulmArmorWoolHatOlive,"Wool Hat (Olive)"
ulmArmorWoolHatOrange,"Wool Hat (Orange)"
ulmArmorWoolHatPink,"Wool Hat (Pink)"
ulmArmorWoolHatPurple,"Wool Hat (Purple)"
ulmArmorWoolHatRed,"Wool Hat (Red)"
ulmArmorWoolHatTan,"Wool Hat (Tan)"
ulmArmorWoolHatWhite,"Wool Hat (White)"
ulmArmorExperimentalMilitaryHelmet,"Prototype Military Helmet"
ulmArmorExperimentalMilitaryHelmetDesc,"Experimental Heavy Armor Prototype Helmet with an integrated Air filtration system."
ulmAccessoryAssassinsNecklace,"Assassins Necklace"
ulmAccessoryAssassinsNecklaceDesc,"Become hidden faster"
ulmAccessoryDukesLuckyNecklace,"Duke's Lucky Necklace"
ulmAccessoryDukesLuckyNecklaceDesc,"Makes bartering easier and offers better deals from traders when buying or selling items."
ulmAccessoryForestersNecklace,"Lucky Acorn Necklace"
ulmAccessoryForestersNecklaceDesc,"Increases amount of resources gathered from trees."
ulmAccessoryFortitudeNecklace,"Necklace of Fortitude"
ulmAccessoryFortitudeNecklaceDesc,"The shape of the pendant inexplicably increases wearers Fortitude."
ulmAccessoryIntellectNecklace,"Intellect Necklace"
ulmAccessoryIntellectNecklaceDesc,"While worn, the wearer appears to be smarter due to unexplained increase in Intellect."
ulmAccessoryEllianniasNecklace,"Elliannia's Locket"
ulmAccessoryEllianniasNecklaceDesc,"A Silver Locket inscribed with 'Jillian, Forever My	 Daughter'."
ulmAccessoryColdResistRing,"Ember Ring"
ulmAccessoryColdResistRingDesc,"Feels oddly warm on the touch. Increases wearers resistance to Cold."
ulmAccessoryDexterityRing,"Ring of Dexterity"
ulmAccessoryDexterityRingDesc,"Increases wearers Dexterity."
ulmAccessoryForagersRing,"Forager's Ring"
ulmAccessoryForagersRingDesc,"Increases chances to harvest an additional plant."
ulmAccessoryHeatResistRing,"Chilling Ring"
ulmAccessoryHeatResistRingDesc,"Feels oddly cool on the touch. Increases wearers resistance to Heat."
ulmAccessoryIronRing,"Iron Ring"
ulmAccessoryIronRingDesc,"Increases Melee Physical Damage."
ulmAccessoryMarksmanRing,"Marksman's Ring"
ulmAccessoryMarksmanRingDesc,"Increases Ranged Physical Damage."
ulmAccessoryPerceptionRing,"Ring of Perception"
ulmAccessoryPerceptionRingDesc,"Makes the wearer more aware about their surroundings by increasing their Perception."
ulmAccessoryRangersRing,"Ranger's Ring"
ulmAccessoryRangersRingDesc,"Reload faster with Revolvers and Sniper Rifles"
ulmAccessorySkullRing,"Skull Ring"
ulmAccessorySkullRingDesc,"Increased damage to undead targets."
ulmAccessoryStrengthRing,"Ring of Strength"
ulmAccessoryStrengthRingDesc,"Wearer of this ring can find themselves with an elevated sense of Strength. Could be a placebo effect or unexplained phenomenon, no one is actually sure how it works."
ulmAccessoryIronScaleRing,"Iron Scale Ring"
ulmAccessoryIronScaleRingDesc,"Increases Physical Damage Resist."
ulmAccessoryCommandoHeadset,"Commando Headset"
ulmArmorHelmetCandle,"Head Candle"
ulmArmorHelmetCandleDesc,"Provides small amount of light."
ulmArmorHelmetLight,"Head Light"
ulmArmorHelmetLightDesc,"Provides a directional light beam."
ulmArmorNightVision,"Night Vision Goggles"
ulmArmorNightVisionDesc,"These night vision goggles provide a little face protection and when activated allow you to see better in the dark."
ulmBackpackActive1,"Active Backpack (Black)"
ulmBackpackActive2,"Active Backpack (Red)"
ulmBackpackBastion1,"Bastion Backpack (Dune)"
ulmBackpackBastion2,"Bastion Backpack (Black)"
ulmBackpackCamper1,"Camper Backpack (Grey)"
ulmBackpackCamper2,"Camper Backpack (Hazel)"
ulmBackpackHaven1,"Haven Backpack (Grey)"
ulmBackpackHaven2,"Haven Backpack (Orange)"
ulmBackpackJogger1,"Jogger Backpack (Purple)"
ulmBackpackJogger2,"Jogger Backpack (Blue)"
ulmBackpackLink1,"Link Backpack (Grey)"
ulmBackpackLink2,"Link Backpack (Red)"
ulmBackpackTactical1,"Tactical Backpack (Grey)"
ulmBackpackTactical2,"Tactical Backpack (Tan)"
ulmBackpackTrail1,"Trail Backpack (Grey)"
ulmBackpackTrail2,"Trail Backpack (Green)"
ulmBackpackRanger1,"Ranger Backpack (Woodlands)"
ulmBackpackRanger2,"Ranger Backpack (Jungle)"
ulmBackpackRanger3,"Ranger Backpack (Tundra)"
ulmBackpackScholar1,"Scholar Backpack (Sand)"
ulmBackpackScholar2,"Scholar Backpack (Blue)"
ulmBackpackSlingBag1,"Sling Bag (Blue)"
ulmBackpackSlingBag2,"Sling Bag (Green)"
ulmBackpackSlingBag3,"Sling Bag (Grey)"
ulmBackpackSlingBag4,"Sling Bag (Yellow)"
ulmBackpackUrban1,"Urban Backpack (Orange)"
ulmBackpackUrban1Desc,"Decently spacious Urban Backpack."
ulmBackpackUrban2,"Urban Backpack (Grey)"
ulmBackpackUrban2Desc,"Decently spacious Urban Backpack."
ulmBackpackRatPack1,"Rat Pack (Green)"
ulmBackpackRatPack1Desc,"Very spacious, but flimsy form backpack with many pockets."
ulmBackpackRatPack2,"Rat Pack (Black)"
ulmBackpackRatPack2Desc,"Very spacious, but flimsy form backpack with many pockets."
ulmBackpackRatPack3,"Rat Pack (Olive)"
ulmBackpackRatPack3Desc,"Very spacious, but flimsy form backpack with many pockets."
